run_id,dataset,record_id,rule_name,field_name,observed_value,severity,entity_type,reason,confidence,suggested_master_id
run_20260831T172354Z,crm_customers,C0022,required_field_present,customer_name,,high,data_quality,required_field_present,,
run_20260831T172354Z,crm_customers,C0033,required_field_present,city,,high,data_quality,required_field_present,,
run_20260831T172354Z,erp_customers,E0022,required_field_present,email,,high,data_quality,required_field_present,,
run_20260831T172354Z,erp_customers,E0033,required_field_present,state,,high,data_quality,required_field_present,,
run_20260831T172354Z,crm_products,P003,required_field_present,category,,high,data_quality,required_field_present,,
run_20260831T172354Z,crm_customers,C0005,valid_email,email,apollo@,high,data_quality,valid_email,,
run_20260831T172354Z,crm_customers,C0013,valid_phone,phone,98AB1234,high,data_quality,valid_phone,,
run_20260831T172354Z,erp_customers,E0005,valid_email,email,contactapollo.com,high,data_quality,valid_email,,
run_20260831T172354Z,erp_customers,E0013,valid_phone,phone,12345,high,data_quality,valid_phone,,
run_20260831T172354Z,sales_transactions,T00021,positive_quantity,quantity,-4,high,data_quality,positive_quantity,,
run_20260831T172354Z,sales_transactions,T00031,positive_unit_price,unit_price,-75.0,high,data_quality,positive_unit_price,,
run_20260831T172354Z,sales_transactions,T00041,positive_revenue,revenue,-500.0,high,data_quality,positive_revenue,,
run_20260831T172354Z,sales_transactions,T00051,valid_transaction_date,transaction_date,2099-13-40,high,data_quality,valid_transaction_date,,
run_20260831T172354Z,sales_transactions,T00011,customer_reference_exists,customer_id,C9999,critical,data_quality,customer_reference_exists,,
run_20260831T172354Z,sales_transactions,T00021,revenue_calculation_consistent,revenue,3360.0,high,data_quality,revenue_calculation_consistent,,
run_20260831T172354Z,sales_transactions,T00031,revenue_calculation_consistent,revenue,2400.0,high,data_quality,revenue_calculation_consistent,,
run_20260831T172354Z,sales_transactions,T00041,revenue_calculation_consistent,revenue,-500.0,high,data_quality,revenue_calculation_consistent,,
