run_id,source_system,source_id,master_customer_id,confidence,match_status,match_rule
run_20260831T172354Z,CRM,C0001,MC0001,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0002,MC0002,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0003,MC0003,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0004,MC0004,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0005,MC0005,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0006,MC0006,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0007,MC0007,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0008,MC0008,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0009,MC0009,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0010,MC0010,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0011,MC0011,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0012,MC0012,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0013,MC0013,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0014,MC0014,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0015,MC0015,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0016,MC0016,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0017,MC0017,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0018,MC0018,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0019,MC0019,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0020,MC0020,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0021,MC0021,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0022,MC0022,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0023,MC0023,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0024,MC0024,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0025,MC0025,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0026,MC0026,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0027,MC0027,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0028,MC0028,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0029,MC0029,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0030,MC0030,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0031,MC0031,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0032,MC0032,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0033,MC0033,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0034,MC0034,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0035,MC0035,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0036,MC0036,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0037,MC0037,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0038,MC0038,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0039,MC0039,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0040,MC0040,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0041,MC0041,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0042,MC0042,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0043,MC0043,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0044,MC0044,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0045,MC0045,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0046,MC0046,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0047,MC0047,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0048,MC0048,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0049,MC0049,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0050,MC0050,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0051,MC0051,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0052,MC0052,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0053,MC0053,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0054,MC0054,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0055,MC0055,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0056,MC0056,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0057,MC0057,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0058,MC0058,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0059,MC0059,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0060,MC0060,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0061,MC0061,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0062,MC0062,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0063,MC0063,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0064,MC0064,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0065,MC0065,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0066,MC0066,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0067,MC0067,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0068,MC0068,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0069,MC0069,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,C0070,MC0070,1.0,new_master,new_canonical_entity
