run_id,source_system,source_id,master_product_id,confidence,match_status,match_rule
run_20260831T172354Z,CRM,P001,MP0001,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,P002,MP0002,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,P003,MP0003,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,P004,MP0004,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,P005,MP0005,1.0,new_master,new_canonical_entity
run_20260831T172354Z,CRM,P006,MP0006,1.0,new_master,new_canonical_entity
run_20260831T172354Z,ERP,EP001,MP0001,1.0,auto_matched,product_name_similarity
run_20260831T172354Z,ERP,EP002,MP0002,1.0,auto_matched,product_name_similarity
run_20260831T172354Z,ERP,EP003,MP0003,1.0,auto_matched,product_name_similarity
run_20260831T172354Z,ERP,EP004,MP0004,1.0,auto_matched,product_name_similarity
run_20260831T172354Z,ERP,EP005,MP0005,0.933,auto_matched,product_name_similarity
run_20260831T172354Z,ERP,EP006,MP0006,1.0,auto_matched,product_name_similarity
run_20260831T172354Z,SALES,SP001,MP0001,0.971,auto_matched,product_name_similarity
run_20260831T172354Z,SALES,SP002,MP0002,0.968,auto_matched,product_name_similarity
run_20260831T172354Z,SALES,SP003,MP0003,0.971,auto_matched,product_name_similarity
run_20260831T172354Z,SALES,SP004,MP0004,0.971,auto_matched,product_name_similarity
run_20260831T172354Z,SALES,SP005,MP0005,0.968,auto_matched,product_name_similarity
run_20260831T172354Z,SALES,SP006,MP0006,0.968,auto_matched,product_name_similarity
